,channel,title,view_count,like_count,was_live,duration_m,date_upload,hour_upload
6764,MiawAug,Jangan Lemah - Attack On Titan 2 - Indonesia #6,889304,17303,0,35.85,2018-04-05,13
6765,MiawAug,Titan Pembunuh Titan - Attack On Titan 2 - Indonesia #5,2573816,38697,0,28.85,2018-04-04,12
6766,MiawAug,Kemenangan Titans ? - Attack On Titan 2 - Indonesia #4,971869,18163,0,20.35,2018-04-03,12
6767,MiawAug,Mengenang Masa Lalu - The Last Of Us Left Behind - Indonesia #1,562000,19383,0,27.35,2018-04-02,13
6768,MiawAug,Mencari Kebenaran - The Inpatient - Indonesia #5,201713,6664,0,26.183,2018-04-01,12
6769,MiawAug,Kembalinya Colossal Titan - Attack On Titan 2 - Indonesia #3,2364190,42445,0,22.3,2018-04-01,10
6770,MiawAug,[Replay] Cari Ayam Boss - PUBG Mobile - Indonesia Live Streaming,831591,18389,1,99.217,2018-04-01,6
6771,MiawAug,10 Pejuang Teratas - Attack On Titan 2 - Indonesia #2,972664,21586,0,26.783,2018-03-31,9
6772,MiawAug,Pawang Ayam - PUBG Mobile - Indonesia,3928979,68119,0,14.717,2018-03-29,12
6773,MiawAug,Kembalinya Para Titans - Attack On Titan 2 - Indonesia #1,9221589,165176,0,24.45,2018-03-29,6
6774,MiawAug,Main PUBG GRATIS ? Cuman di PUBG Mobile - Indonesia,3416050,57679,0,15.667,2018-03-27,13
6775,MiawAug,Bertahan Hidup - The Last Of Us Remastered - Indonesia (END),1110135,25348,0,25.133,2018-03-26,13
6776,MiawAug,Ellie Tengelam 😧 - The Last Of Us Remastered - Indonesia #26,2826778,33463,0,25.267,2018-03-25,15
6777,MiawAug,Ellie Kok Berubah - The Last Of Us Remastered - Indonesia #25,656509,16089,0,33.217,2018-03-24,15
6778,MiawAug,[Replay] Makan Malam Ayam Boss - PUBG Mobile - Indonesia Live Streaming,485029,13468,1,75.817,2018-03-24,9
6779,MiawAug,Selamat Juga - The Last Of Us Remastered - Indonesia #24,686297,16820,0,32.2,2018-03-24,5
6780,MiawAug,Ellie Tertangkap - The Last Of Us Remastered - Indonesia #23,579181,15032,0,31.033,2018-03-22,14
6781,MiawAug,Joel Hampir Mati - The Last Of Us Remastered - Indonesia #22,912011,16935,0,34.217,2018-03-21,14
6782,MiawAug,FireFly Mana Si ??? - The Last Of Us Remastered - Indonesia #21,469257,14246,0,32.65,2018-03-20,13
6783,MiawAug,Tanggung Jawab - The Last Of Us Remastered - Indonesia #20,486958,14272,0,34.317,2018-03-19,13
6784,MiawAug,Pertemuan Kakak Beradik - The Last Of Us Remastered - Indonesia #19,563220,14957,0,31.967,2018-03-18,13
6785,MiawAug,Ga Kuat Gw 😵 - The Inpatient - Indonesia #4,253423,8328,0,11.717,2018-03-17,14
6786,MiawAug,Sedih 😢 - The Last Of Us Remastered - Indonesia #18,754366,17083,0,33.15,2018-03-17,5
6787,MiawAug,[Replay] 🔴 Leveling Yukz - Lineage2 Revolution - Miawaug Live Streaming,279108,11182,1,75.25,2018-03-16,15
6788,MiawAug,Mereka Terpisah - The Last Of Us Remastered - Indonesia #17,524826,13258,0,28.117,2018-03-15,14
6789,MiawAug,"4 Tahun Youtube Channel MiawAug - 1,5 Juta Subscribers",182518,14521,0,7.517,2018-03-14,11
6790,MiawAug,Berhianat kah ? - The Last Of Us Remastered - Indonesia #16,432045,12814,0,32.183,2018-03-13,13
6791,MiawAug,Teman Baru ? - The Last Of Us Remastered - Indonesia #15,433998,12924,0,31.967,2018-03-12,14
6792,MiawAug,Belajar Percaya - The Last Of Us Remastered - Indonesia #14,509392,13731,0,29.383,2018-03-11,12
6793,MiawAug,Zombienya Nggka Nyantai - The Last Of Us Remastered - Indonesia #13,470092,13469,0,34.233,2018-03-10,14
6794,MiawAug,Perkenalan Karakter - Lineage2 Revolution - Pra Registrasi Indonesia,232870,6476,0,7.0,2018-03-10,12
6795,MiawAug,Game buatan Indonesia Yang Ngeselin,1502547,35474,0,10.017,2018-03-09,13
6796,MiawAug,Masuk Ke Sarang Penyamun - The Last Of Us Remastered - Indonesia #12,416754,12167,0,25.7,2018-03-08,13
6797,MiawAug,Dikepung Perampok - The Last Of Us Remastered - Indonesia #11,538797,12869,0,29.567,2018-03-07,14
6798,MiawAug,Lagi Sakit | Informasi Game Premium Gratis di Android,367530,15712,0,4.833,2018-03-06,12
6799,MiawAug,Zombie Jenis Baru - The Last Of Us Remastered - Indonesia #10,703376,14408,0,30.667,2018-03-05,14
6800,MiawAug,Chat Salah Sambung Dari Cewek Cantik,2888674,66763,0,12.917,2018-03-04,12
6801,MiawAug,Ini Yang Gw Tunggu - Vainglory 5v5 - Indonesia,622603,12707,0,21.967,2018-03-03,12
6802,MiawAug,Teman Baru - The Last Of Us Remastered - Indonesia #9,483215,13254,0,37.333,2018-03-02,11
6803,MiawAug,Cara Gw Bertahan Hidup - The Inpatient - Indonesia #3,349472,8781,0,18.3,2018-03-01,12
6804,MiawAug,Obat yang membuat jadi Gila - Remothered - Indonesia #7 (END),262302,8913,0,23.9,2018-02-28,13
6805,MiawAug,[Replay] Pemburu Ayam - Rules Of Survival- Miawaug Live Streaming,1410220,27294,1,144.55,2018-02-28,12
6806,MiawAug,Lebih Kejam Dari Bapake - Remothered - Indonesia #6,228654,6703,0,24.917,2018-02-27,14
6807,MiawAug,Tetap Melindungi Ellie  - The Last Of Us Remastered - Indonesia #8,671270,15237,0,34.783,2018-02-26,14
6808,MiawAug,Terungkap Wajah The Lady - Little Nightmares: The Residence - Indonesia (END),1864023,37427,0,23.817,2018-02-25,8
6809,MiawAug,Makhluk Misterius - Little Nightmares: The Residence - Indonesia Part 2,805791,20226,0,17.75,2018-02-24,8
6810,MiawAug,Kamarnya The Lady - Little Nightmares: The Residence - Indonesia Part 1,1300494,32666,0,19.317,2018-02-23,11
6811,MiawAug,Identitas Sebenarnya - Remothered - Indonesia #5,226131,7745,0,27.983,2018-02-22,12
6812,MiawAug,Selamat Tinggal Tess 😭  - The Last Of Us Remastered - Indonesia #7,513245,14334,0,25.867,2018-02-21,14
6813,MiawAug,Persiapan Asian Games - Badminton League - Indonesia,942086,18677,0,10.283,2018-02-20,12
6814,MiawAug,Susah Napas 😰 - Remothered - Indonesia #4,222482,7983,0,20.05,2018-02-19,11
